Breakfast Delivery Model from State Agency Tracking-Original,School ID,School Name,District ID,District Name,State-Physical,County,City,Zip Code,Street Address-Line 1,Street Address-Line 2,School Level-Original,School Type-Original,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Date,Claim Month,Claim Year,Enrollment-Total,Enrollment-Paid,Enrollment-Free,Enrollment-Reduced,Enrollment-Free and Reduced,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Lunch Meals-Free and Reduced,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Breakfast Meals-Free and Reduced,Operating Days,Operating Days-Breakfast Only,Operating Days-Lunch Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,Unique ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data,NCES ID
,12318,Jewell Elementary,0902001,Bend/LaPine SD,OR,Deschutes,Bend,97702,20550 Murphy Road,,,Public-Regular School,N,,N,,,,,,577,326,210,41,251,24824,4569,16255,29393,10703,975,4084,11678,,171,170,,,,,,,,OR,29393,172.9,11678,68.292397661,OR@12318@0902001,SY16-17,,251,0.435008666,,Public,,,,,,,
BIC,10039,Juniper Elementary,0902001,Bend/LaPine SD,OR,Deschutes,Bend,97701,1300 NE Norton,,,Public-Regular School,N,,Y,,,,,,581,280,227,74,301,30486,7695,16137,38181,56088,4005,20031,60093,,170,170,,,,,,,,OR,38181,224.594117647,60093,353.488235294,OR@10039@0902001,SY16-17,,301,0.518072289,,Public,,,,BIC,,,
BIC,10042,LaPine Elementary,0902001,Bend/LaPine SD,OR,Deschutes,La Pine,97739,51615 Coach Road,,,Public-Regular School,Y,,N,,,,,,391,17,374,0,374,51891,0,2379,51891,54548,0,2502,54548,,170,170,,,,,,,,OR,51891,305.241176471,54548,320.870588235,OR@10042@0902001,SY16-17,,374,0.956163626,,Public,,,,BIC,,,
,10028,LaPine High School,0902001,Bend/LaPine SD,OR,Deschutes,La Pine,97739,51633 Coach Road,,,Public-Regular School,N,,Y,,,,,,457,204,191,62,253,18097,4755,6224,22852,16041,4024,7998,20065,,172,171,,,,,,,,OR,22852,133.637426901,20065,116.656976744,OR@10028@0902001,SY16-17,,253,0.553610503,,Public,,,,,,,
BIC,10033,LaPine Middle School,0902001,Bend/LaPine SD,OR,Deschutes,La Pine,97739,16360 - 1st Street,,,Public-Regular School,Y,,N,,,,,,295,13,282,0,282,39233,0,1800,39233,34739,0,1594,34739,,170,170,,,,,,,,OR,39233,230.782352941,34739,204.347058824,OR@10033@0902001,SY16-17,,282,0.956132869,,Public,,,,BIC,,,
,10043,Lava Ridge Elementary,0902001,Bend/LaPine SD,OR,Deschutes,Bend,97701,20805 Cooley Road,,,Public-Regular School,N,,N,,,,,,659,463,162,34,196,19591,4200,28192,23791,9793,1853,5570,11646,,169,169,,,,,,,,OR,23791,140.775147929,11646,68.911242604,OR@10043@0902001,SY16-17,,196,0.297420334,,Public,,,,,,,
,10029,Marshall High School,0902001,Bend/LaPine SD,OR,Deschutes,Bend,97701,1291 NE 5th Street,,,Public-Regular School,Y,,N,,,,,,168,6,162,0,162,10873,0,385,10873,6719,0,238,6719,,173,172,,,,,,,,OR,10873,63.215116279,6719,38.838150289,OR@10029@0902001,SY16-17,,162,0.965802096,,Public,,,,,,,
,10030,Mountain View High School,0902001,Bend/LaPine SD,OR,Deschutes,Bend,97701,2755 NE 27th Street,,,Public-Regular School,N,,N,,,,,,1710,1104,467,139,606,23685,6570,17706,30255,17292,4148,4378,21440,,173,171,,,,,,,,OR,30255,176.929824561,21440,123.930635838,OR@10030@0902001,SY16-17,,606,0.354385965,,Public,,,,,,,
,15662,Pacific Crest Middle School,0902001,Bend/LaPine SD,OR,Deschutes,Bend,97703,3030 NW Elwood Ln,,,Public-Regular School,N,,N,,,,,,715,643,58,14,72,4257,1240,26450,5497,973,442,2472,1415,,171,170,,,,,,,,OR,5497,32.335294118,1415,8.274853801,OR@15662@0902001,SY16-17,,72,0.100699301,,Public,,,,,,,
,10034,Pilot Butte Middle School,0902001,Bend/LaPine SD,OR,Deschutes,Bend,97701,1501 NE Neff Road,,,Public-Regular School,N,,N,,,,,,801,347,365,89,454,37574,10864,17012,48438,17207,4037,1736,21244,,170,169,,,,,,,,OR,48438,286.615384615,21244,124.964705882,OR@10034@0902001,SY16-17,,454,0.566791511,,Public,,,,,,,
