School Name,District ID,School ID,District Name,State-Physical,County,City,Zip Code,Street Address-Line 1,Street Address-Line 2,School Level-Original,School Type-Original,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Date,Claim Month,Claim Year,Enrollment-Total,Enrollment-Paid,Enrollment-Free,Enrollment-Reduced,Enrollment-Free and Reduced,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Lunch Meals-Free and Reduced,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Breakfast Meals-Free and Reduced,Operating Days,Operating Days-Breakfast Only,Operating Days-Lunch Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,Unique ID,NCES ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data
AZTEC High School,4508,6192,Az-Tec High School,,Yuma,,85364,,,,Charter School,N,,Y,N,,,,,,,,,,8100,166,348,,4291,33,130,,167,167,167,,Cafeteria,,,,,,,AZ,8266,49.497005988,4324,25.892215569,AZ@6192@4508,040009401109,SY16-17,,,0.92,,Charter,,,,Cafeteria,,
Educational Opportunity Center,4509,6193,"Yuma Private Industry Council, Inc.",,Yuma,,85364,,,,Charter School,Y,,N,N,,,,,,,,,,8983,0,3243,,5654,0,2039,,167,167,167,,GNG,,,,,,,AZ,8983,53.790419162,5654,33.856287425,AZ@6193@4509,040009501114,SY16-17,,,0.72,,Charter,,,,GNG,,
"Hearn Academy, The - A Ball Charter School",4294,10730,Ball Charter Schools (Hearn),,Maricopa,,85023,,,,Charter School,N,,,,,,,,,,,,,30072,6894,13406,,7904,1025,1838,,167,167,167,,Cafeteria,,,,,,,AZ,36966,221.353293413,8929,53.467065868,AZ@10730@4294,040010001714,SY16-17,,,0.44,,Charter,,,,Cafeteria,,
Friendly House Academia Del Pueblo Elem,4303,6036,"Friendly House, Inc.",,Maricopa,,85004,,,,Charter School,Y,,N,N,,,,,,,,,,63525,0,0,,51876,0,0,,167,167,167,,BIC,,,,,,,AZ,63525,380.389221557,51876,310.634730539,AZ@6036@4303,040010201582,SY16-17,,,0.99,,Charter,,,,BIC,,
Phoenix Advantage Charter School,4338,5512,"Phoenix Advantage Charter School, Inc.",,Maricopa,,85016,,,,Charter School,N,,,,,,,,,,,,,50033,1739,1496,,25007,223,424,,167,167,167,,Cafeteria,,,,,,,AZ,51772,310.011976048,25230,151.077844311,AZ@5512@4338,040010901592,SY16-17,,,0.95,,Charter,,,,Cafeteria,,
ACCLAIM Academy,4325,5496,Acclaim Charter School,,Maricopa,,85033,,,,Charter School,N,,,,,,,,,,,,,40441,2001,1623,,5440,328,161,,167,167,167,,Cafeteria,,,,,,,AZ,42442,254.143712575,5768,34.538922156,AZ@5496@4325,040012201585,SY16-17,,,0.9,,Charter,,,,Cafeteria,,
Academy Of Excellence,4296,5461,"Academy Of Excellence, Inc.",,Maricopa,,85008,,,,Charter School,Y,,N,N,,,,,,,,,,14695,0,0,,9033,0,0,,167,167,167,,Cafeteria,,,,,,,AZ,14695,87.994011976,9033,54.089820359,AZ@5461@4296,040012801715,SY16-17,,,0.98,,Charter,,,,Cafeteria,,
AmeriSchools Academy - Camelback,6355,6063,"The Charter Foundation, Inc.",,Maricopa,,85013,,,,Charter School,,,,,,,,,,,,,,20359,3752,2926,,,,,,167,167,167,,,,,,,,,AZ,24111,144.377245509,,,AZ@6063@6355,040013101781,SY16-17,,,0.71,,Charter,,,,,,
Copper Canyon Academy,6375,5495,"Employ-Ability Unlimited, Inc.",,Maricopa,,85345,,,,Charter School,,,,,,,,,,,,,,15955,2875,2509,,,,,,167,167,167,,,,,,,,,AZ,18830,112.754491018,,,AZ@5495@6375,040013301725,SY16-17,,,0.76,,Charter,,,,,,
Challenge Charter School,6362,5555,"Challenge School, Inc.",,Maricopa,,85308,,,,Charter School,N,,,,,,,,,,,,,9552,3077,22082,,3606,1083,4617,,167,167,167,,Cafeteria,,,,,,,AZ,12629,75.622754491,4689,28.077844311,AZ@5555@6362,040013501748,SY16-17,,,0.21,,Charter,,,,Cafeteria,,
