Unique ID,School ID,District ID,School Name,District Name,State-Physical,County,City,Zip Code,Street Address-Line 1,Street Address-Line 2,School Level-Original,School Type-Original,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Date,Claim Month,Claim Year,Enrollment-Total,Enrollment-Paid,Enrollment-Free,Enrollment-Reduced,Enrollment-Free and Reduced,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Lunch Meals-Free and Reduced,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Breakfast Meals-Free and Reduced,Operating Days,Operating Days-Breakfast Only,Operating Days-Lunch Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,NCES ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data
ME@1447@1446,1447,1446,Oak Hill Middle School,RSU 04,ME,Androscoggin,Sabattus,04280,40 Ball Park Road Sabattus,,6-8,Public,,,,,,10/1/2017,10,2017,317,,143,36,,1620,336,1018,,772,136,180,,,18,18,,,,,,,,,ME,1956,108.666666667,908,50.444444444,231478323122,SY17-18,,179,,Middle,Public,,,,,,
ME@489@1446,489,1446,Sabattus Primary School,RSU 04,ME,Androscoggin,Sabattus,04280,36 No Name Pond Road Sabattus,,PR-2,Public,,,,,,10/1/2017,10,2017,231,,104,18,,962,136,519,,646,56,0,,,18,18,,,,,,,,,ME,1098,61,702,39,231478300609,SY17-18,,122,,Primary,Public,,,,,,
ME@156@1449,156,1449,Durham Community School,RSU 05,ME,Androscoggin,Durham,04222,654 Hallowell Road Durham,,PR-8,Public,,,,,,10/1/2017,10,2017,732,,63,20,,770,216,2549,,493,133,937,,,18,18,,,,,,,,,ME,986,54.777777778,626,34.777777778,231478900132,SY17-18,,83,,Primary/Middle,Public,,,,,,
ME@185@1449,185,1449,Freeport High School,RSU 05,ME,Cumberland,Freeport,04032,30 Holbrook Street Freeport,,9-12,Public,,,,,,10/1/2017,10,2017,535,,100,30,,993,188,1312,,549,81,230,,,18,18,,,,,,,,,ME,1181,65.611111111,630,35,231478900149,SY17-18,,130,,High,Public,,,,,,
ME@186@1449,186,1449,Freeport Middle School,RSU 05,ME,Cumberland,Freeport,04032,19 Kendall Lane Freeport,,6-8,Public,,,,,,10/1/2017,10,2017,356,,66,10,,776,98,1297,,248,10,57,,,18,18,,,,,,,,,ME,874,48.555555556,258,14.333333333,231478900979,SY17-18,,76,,Middle,Public,,,,,,
ME@187@1449,187,1449,Mast Landing School,RSU 05,ME,Cumberland,Freeport,04032,20 Mollymauk Lane Freeport,,3-5,Public,,,,,,10/1/2017,10,2017,253,,43,10,,536,156,1012,,291,90,220,,,18,18,,,,,,,,,ME,692,38.444444444,381,21.166666667,231478901044,SY17-18,,53,,Primary,Public,,,,,,
ME@184@1449,184,1449,Morse Street School,RSU 05,ME,Cumberland,Freeport,04032,21 Morse Street Freeport,,PR-2,Public,,,,,,10/1/2017,10,2017,260,,33,12,,473,142,1131,,167,56,32,,,18,18,,,,,,,,,ME,615,34.166666667,223,12.388888889,231478900153,SY17-18,,45,,Primary,Public,,,,,,
ME@931@1449,931,1449,Pownal Elementary School,RSU 05,ME,Cumberland,Pownal,04069,587 Elmwood Road Pownal,,PR-5,Public,,,,,,10/1/2017,10,2017,97,,10,7,,167,49,582,,117,26,89,,,18,18,,,,,,,,,ME,216,12,143,7.944444444,231478900683,SY17-18,,17,,Primary,Public,,,,,,
ME@597@587,597,587,Bonny Eagle High School,RSU 06/MSAD 06,ME,Cumberland,Standish,04084,700 Saco Road Standish,,9-12,Public,,,,,,10/1/2017,10,2017,1120,,312,76,,2026,553,2360,,1049,270,364,,,18,18,,,,,,,,,ME,2579,143.277777778,1319,73.277777778,231179000531,SY17-18,,388,,High,Public,,,,,,
ME@592@587,592,587,Bonny Eagle Middle School,RSU 06/MSAD 06,ME,York,Buxton,04093,92 Sokokis Trail Buxton,,6-8,Public,,,,,,10/1/2017,10,2017,856,,266,57,,2655,518,2591,,1375,285,580,,,18,18,,,,,,,,,ME,3173,176.277777778,1660,92.222222222,231179000532,SY17-18,,323,,Middle,Public,,,,,,
ME@600@587,600,587,Buxton Center Elementary School,RSU 06/MSAD 06,ME,York,Buxton,04093,912 Long Plains Road Buxton,,KG-5,Public,,,,,,10/1/2017,10,2017,609,,221,43,,3280,572,2803,,2140,386,1130,,,18,18,,,,,,,,,ME,3852,214,2526,140.333333333,231179023123,SY17-18,,264,,Primary,Public,,,,,,
ME@599@587,599,587,Edna Libby Elementary School,RSU 06/MSAD 06,ME,Cumberland,Standish,04084,45 Fort Hill Road Standish,,PR-3,Public,,,,,,10/1/2017,10,2017,263,,116,26,,1467,167,1009,,1138,119,453,,,18,18,,,,,,,,,ME,1634,90.777777778,1257,69.833333333,231179000930,SY17-18,,142,,Primary,Public,,,,,,
ME@596@587,596,587,George E Jack School,RSU 06/MSAD 06,ME,Cumberland,Standish,04084,15 Northeast Road Standish,,4-5,Public,,,,,,10/1/2017,10,2017,180,,71,23,,847,239,649,,717,257,540,,,18,18,,,,,,,,,ME,1086,60.333333333,974,54.111111111,231179000535,SY17-18,,94,,Primary,Public,,,,,,
ME@595@587,595,587,H B Emery Jr Memorial School,RSU 06/MSAD 06,ME,York,Limington,04049,908 Cape Road Limington,,PR-5,Public,,,,,,10/1/2017,10,2017,184,,77,14,,1006,183,884,,842,139,724,,,18,18,,,,,,,,,ME,1189,66.055555556,981,54.5,231179000536,SY17-18,,91,,Primary,Public,,,,,,
