Unique ID,District Name,School ID,District ID,School Name,BAB Implementation Date from Grants Data,Breakfast Delivery Model from Other Source-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Grants Data-Standardized,School Type-Standardized,School Level-Standardized,FR Enrollment Percentage,FR Enrollment,Target Area,FR Breakfast ADP,FR Breakfast Meals,FR Lunch ADP,FR Lunch Meals,State-Reporting,"BAB Implementation Date Other Source, Note Source Here",BAB Implementation Date from Other Source,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Campaign Tracking Data,"Breakfast Delivery Model from Other Source, Note Source Here",Breakfast Delivery Model from Other Source-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Campaign Tracking Data-Original,Operating Days,Breakfast Meals-Free and Reduced,Lunch Meals-Free and Reduced,Enrollment-Free and Reduced,Enrollment-Paid,Claim Year,Claim Month,Claim Date,Universal Free (Y/N),School Type-Original,Street Address-Line 2,State-Physical,Enrollment-Reduced,Enrollment-Free,Enrollment-Total,School Year,School Level-Original,Street Address-Line 1,City,Zip Code,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Operating Days-Lunch Only,Operating Days-Breakfast Only,Breakfast Meals-Paid,Breakfast Meals-Free,Breakfast Meals-Reduced,Lunch Meals-Paid,Lunch Meals-Free,Lunch Meals-Reduced,NCES ID,County
GA@0001@116,Devereux Foundation,0001,116,Devereux Georgia Treatment Network,,,,,,,,,,,,103.461267606,29383,100.332142857,28093,GA,,,,,,,,,,,,,,,,,,,,,,,,SY16-17,,1291 Stanley Road,Kennesaw,30152,N,,N,,280,284,0,29383,0,0,28093,0,,
GA@0001@214,"AMANA ACADEMY, INC",0001,214,Amana Academy,,,,,,,,,,,,80.028409091,14085,240.011363636,42242,GA,,,,,,,,,,,,,,,,,,,,,,,,SY16-17,,2855 S Main Street,Alpharetta,30009,N,,N,,176,176,1827,12569,1516,9260,36794,5448,,
GA@0003@227, BRIGHTEN ACADEMY  INC,0003,227,Brighten Academy,,,,,,,,,,,,78.960893855,14134,193.480446927,34633,GA,,,,,,,,,,,,,,,,,,,,,,,,SY16-17,,5897 Prestley Mill Road,Douglasville,30135,N,,N,,179,179,5940,12088,2046,31400,27750,6883,,
GA@9011@330,LEADERSHIP PREPARATORY ACADEMY,9011,330,Leadership Preparatory Academy,,,,,,,,,,,,33.906976744,5832,163.348837209,28096,GA,,,,,,,,,,,,,,,,,,,,,,,,SY16-17,,6400 Woodrow Rd.,Lithonia,30038,N,,N,,172,172,1216,4940,892,8087,24700,3396,,
GA@0001@363,DEKALB PREPARATORY ACADEMY INC,0001,363,Dekalb Preparatory Academy,,,,,,,,,,,,98.068062827,18731,260.680628272,49790,GA,,,,,,,,,,,,,,,,,,,,,,,,SY16-17,,1402 Austin Drive,Decatur,30032,N,,N,,191,191,4744,16408,2323,18319,43205,6585,,
GA@9009@377,KIPP METRO ATLANTA COLLABORATIVE IN,9009,377,KIPP STRIVE ACADEMY,,,,,,,,,,,,152.198952880,29070,199.115183246,38031,GA,,,,,,,,,,,,,,,,,,,,,,,,SY16-17,,1444 LUCILE AVENUE ATLANTA,ATLANTA,30310,N,,N,,191,191,5190,25709,3361,11440,33436,4595,,
GA@9011@377,KIPP METRO ATLANTA COLLABORATIVE IN,9011,377,KIPP Vision Academy,,,,,,,,,0.967011009,,,143.052356021,27323,268.575916230,51298,GA,,,,,,,,,,,,,,,,,,,,,,,,SY16-17,,660 McWilliams Road SE,Atlanta,30315,Y,N,N,N,191,191,933,27323,0,1750,51298,0,,
GA@9012@377,KIPP METRO ATLANTA COLLABORATIVE IN,9012,377,KIPP W.A.Y.S. ACADEMY,,,,,,,,,0.967133953,,,99.004739336,20890,244.895734597,51673,GA,,,,,,,,,,,,,,,,,,,,,,,,SY16-17,,350 Temple Street,Atlanta,30314,Y,N,N,N,211,211,707,20890,0,1756,51673,0,,
GA@9013@377,KIPP METRO ATLANTA COLLABORATIVE IN,9013,377,Kipp Atlanta Collegiate,,,,,,,,,0.966989759,,,200.111675127,39422,410.679611650,84600,GA,,,,,,,,,,,,,,,,,,,,,,,,SY16-17,,98 Anderson Avenue Atlanta,Atlanta,30314,Y,N,N,N,206,197,1346,39422,0,2888,84600,0,,
GA@9014@377,KIPP METRO ATLANTA COLLABORATIVE IN,9014,377,KIPP Strive Primary,,,,,,,,,0.966989259,,,423.759162304,80938,437.863874346,83632,GA,,,,,,,,,,,,,,,,,,,,,,,,SY16-17,,1444 Lucile Avenue,Atlanta,30310,Y,N,N,N,191,191,2762,80938,0,2855,83632,0,,
