IRN,ORGANIZATION NAME,SCHOOL TYPE,ORGANIZATION TYPE,DESIGNATED COUNTY,ORG MAILING ADDRESS,PARENT IRN
145409,Northside Intermediate School,Elementary School,Public School,Stark,"701 Johnson Ave, Alliance, Ohio, 44601",43497
145417,Rockhill Elementary School,Elementary School,Public School,Stark,"2400 S Rockhill Ave, Alliance, Ohio, 44601",43497
145433,Strausser Elementary School,Elementary School,Public School,Stark,"8646 Strausser St NW, Massillon, Ohio, 44646",49858
145466,Winchester Trail Elementary,Elementary School,Public School,Franklin,"6865 Gender Rd, Canal Winchester, Ohio, 43110",46946
145532,Granville Intermediate School,Elementary School,Public School,Licking,"2025 Burg St, Granville, Ohio, 43023",45393
145557,Western Hills University High School,High School,Public School,Hamilton,"2144 Ferguson Rd, Cincinnati, Ohio, 45238",43752
145581,Academy for Multilingual Immersion Studies,Elementary School,Public School,Hamilton,"1908 Seymour Ave, Cincinnati, Ohio, 45237",43752
145631,Danville Middle School,Middle School,Public School,Knox,"205 Rambo St, Danville, Ohio, 43014",47837
145722,Riverview East Academy,Elementary School,Public School,Hamilton,"3555 Kellogg Ave, Cincinnati, Ohio, 45226",43752
145870,Struthers Elementary School,Elementary School,Public School,Mahoning,"520 9th St, Struthers, Ohio, 44471",44859
145953,Olentangy Liberty High School,High School,Public School,Delaware,"3584 Home Rd, Powell, Ohio, 43065",46763
145987,Greeneview Elementary School,Elementary School,Public School,Greene,"53 N Limestone St, Jamestown, Ohio, 45335",47266
146035,Unity Elementary School,Elementary School,Public School,Allen,"925 E 3rd St, Lima, Ohio, 45804",44222
146043,Freedom Elementary School,Elementary School,Public School,Allen,"575 Calumet Ave, Lima, Ohio, 45804",44222
146050,Heritage Elementary School,Elementary School,Public School,Allen,"816 College Ave, Lima, Ohio, 45805",44222
146084,Eli Pinney Elementary School,Elementary School,Public School,Delaware,"9989 Concord Rd, Dublin, Ohio, 43017",47027
146134,Navin Elementary School,Elementary School,Public School,Union,"16265 County Home Rd, Marysville, Ohio, 43040",45476
146167,Fouse Elementary School,Elementary School,Public School,Delaware,"5800 S Old 3c Hwy, Westerville, Ohio, 43082",45047
146175,Alcott Elementary School,Elementary School,Public School,Delaware,"7117 Mount Royal Ave, Westerville, Ohio, 43082",45047
146183,Westerville Central High School,High School,Public School,Delaware,"7118 Mount Royal Ave, Westerville, Ohio, 43082",45047
146209,Westfall Elementary School,Elementary School,Public School,Pickaway,"9391 State Route 56, Williamsport, Ohio, 43164",49106
146217,Western Reserve Elementary School,Elementary School,Public School,Huron,"3851 US Hwy 20, Collins, Ohio, 44826",47746
146308,Wheelersburg Middle School,Middle School,Public School,Scioto,"800 Pirate Dr, Wheelersburg, Ohio, 45694",49668
146332,Minster Elementary School,Elementary School,Public School,Auglaize,"50 E 7th St, Minster, Ohio, 45865",45948
