Unique ID,School ID,District ID,County,School Name,District Name,State-Physical,City,Zip Code,Street Address-Line 1,Street Address-Line 2,School Type-Original,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Month,Claim Year,Enrollment-Paid,Lunch Meals-Free and Reduced,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Breakfast Meals-Free and Reduced,Operating Days,Operating Days-Breakfast Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,NCES ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data,School Level-Original,Enrollment-Free,Enrollment-Reduced,Enrollment-Free and Reduced,Enrollment-Total,Claim Date,Operating Days-Lunch Only,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid
NV@002-193@002,002-193,002,Clark,Batterman Elementary School,CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,,,,,,,N,,N,,,8,2017,,,418,50,211,,,14,,,,,,,,,NV,1756,125.428571429,468,33.428571429,,SY17-18,,259,0.339005236,Primary,,,,,,,,PK-5,204,55,259,764,8/1/2017,14,1387,369,1401
NV@002-108@002,002-108,002,Clark,Beatty Elementary School,CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,,,,,,,Y,,N,,,8,2017,,,834,0,142,,,14,,,,,,,,,NV,3689,263.5,834,59.571428571,,SY17-18,,271,0.854924681,Primary,,,,,,,,PK-5,,,271,615,8/1/2017,14,3689,0,626
NV@002-327@002,002-327,002,Clark,Becker Middle School,CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,,,,,,,N,,N,,,8,2017,,,1771,239,91,,,14,,,,,,,,,NV,8281,591.5,2010,143.571428571,,SY17-18,,769,0.556439942,Middle,,,,,,,,6-8,639,130,769,1382,8/1/2017,14,7276,1005,2122
NV@002-248@002,002-248,002,Clark,Beckley Elementary School,CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,,,,,,,Y,,N,,,8,2017,,,7922,0,1333,,,14,,,,,,,,,NV,7814,558.142857143,7922,565.857142857,,SY17-18,,717,0.855953555,Primary,,,,,,,,PK-5,,,717,838,8/1/2017,14,7814,0,1315
NV@002-236@002,002-236,002,Clark,Bell Elementary School,CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,,,,,,,Y,,N,,,8,2017,,,8291,0,1417,,,14,,,,,,,,,NV,7708,550.571428571,8291,592.214285714,,SY17-18,,809,0.853977399,Primary,,,,,,,,PK-5,,,809,809,8/1/2017,14,7708,0,1318
NV@002-138@002,002-138,002,Clark,Bendorf Elementary School,CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,,,,,,,N,,N,,,8,2017,,,1041,170,226,,,14,,,,,,,,,NV,3427,244.785714286,1211,86.5,,SY17-18,,408,0.577903683,Primary,,,,,,,,PK-5,323,85,408,706,8/1/2017,14,2912,515,1154
NV@002-292@002,002-292,002,Clark,Bennett Elementary School,CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,,,,,,,Y,,N,,,8,2017,,,1851,0,319,,,14,,,,,,,,,NV,1889,134.928571429,1851,132.214285714,,SY17-18,,269,0.852821670,Primary,,,,,,,,PK-5,,,269,332,8/1/2017,14,1889,0,326
NV@002-070@002,002-070,002,Clark,"Berkley, Shelley ES",CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,,,,,,,N,,N,,,8,2017,,,1063,144,304,,,14,,,,,,,,,NV,2527,180.5,1207,86.214285714,,SY17-18,,332,0.520376176,Primary,,,,,,,,PK-5,278,54,332,638,8/1/2017,14,2197,330,958
NV@002-271@002,002-271,002,Clark,Bilbray Elementary School,CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,,,,,,,Y,,N,,,8,2017,,,1886,0,309,,,14,,,,,,,,,NV,4093,292.357142857,1886,134.714285714,,SY17-18,,239,0.858971668,Primary,,,,,,,,PK-5,,,239,819,8/1/2017,14,4093,0,672
NV@002-068@002,002-068,002,Clark,"Blackhurst, Jan Jones ES",CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,,,,,,,N,,N,,,8,2017,,,202,22,178,,,14,,,,,,,,,NV,1489,106.357142857,224,16,,SY17-18,,199,0.296130952,Primary,,,,,,,,PK-5,165,34,199,672,8/1/2017,14,1190,299,1111
NV@002-101@002,002-101,002,Clark,Blue Diamond Elementary School,CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,,,,,,,N,,Y,,,8,2017,,,12,29,108,,,14,,,,,,,,,NV,102,7.285714286,41,2.928571429,,SY17-18,,12,0.285714286,Primary,,,,,,,,PK-5,,,12,42,8/1/2017,14,47,55,217
NV@002-411@002,002-411,002,Clark,Bonanza High School,CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,,,,,,,N,,N,,,8,2017,,,2223,372,102,,,14,,,,,,,,,NV,9302,664.428571429,2595,185.357142857,,SY17-18,,136,0.062701706,High,,,,,,,,9-12,1142,218,136,2169,8/1/2017,14,7931,1371,828
NV@002-157@002,002-157,002,Clark,Bonner Elementary School,CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,,,,,,,N,,N,,,8,2017,,,277,49,108,,,14,,,,,,,,,NV,1272,90.857142857,326,23.285714286,,SY17-18,,185,0.215869312,Primary,,,,,,,,PK-5,149,36,185,857,8/1/2017,14,1033,239,1360
NV@002-211@002,002-211,002,Clark,Booker Elementary School,CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,,,,,,,Y,,N,,,8,2017,,,5203,0,861,,,14,,,,,,,,,NV,4837,345.5,5203,371.642857143,,SY17-18,,502,0.857928343,Primary,,,,,,,,PK-5,,,502,502,8/1/2017,14,4837,0,801
