Unique ID,School ID,District ID,State-Reporting,County,School Name,District Name,State-Physical,City,Zip Code,Street Address-Line 1,Street Address-Line 2,School Level-Original,School Type-Original,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Month,Claim Year,Enrollment-Total,Enrollment-Paid,Enrollment-Free,Enrollment-Reduced,Enrollment-Free and Reduced,Lunch Meals-Free and Reduced,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Breakfast Meals-Free and Reduced,Operating Days,Operating Days-Breakfast Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,NCES ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data,Operating Days-Lunch Only,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Claim Date
NV@SD362@GD401,SD362,GD401,NV,,PINECREST ST ROSE OF NV CAMPUS,PINECREST ACADEMY OF NEVADA,,,,,,,,,,,,,1,2017,,,,,,,0,0,0,,,0,,,,,,,,,1259,62.95,0,,,SY16-17,,,,,,,,,,,,20,791,468,943,1/1/2017
NV@SD363@GD402,SD363,GD402,NV,,Pyramid Lake High School,PYRAMID LAKE JR./SR. HIGH SCHOOL,,,,,,,,,,,,,1,2017,,,,,,,290,52,94,,,8,,,,,,,,,394,43.777777778,342,42.75,,SY16-17,,,,,,,,,,,,9,336,58,112,1/1/2017
NV@SD364@GD403,SD364,GD403,NV,,Alexander Kinder Campus,QUEST ACADEMY CHARTER SCHOOL,,,,,,,,,,,,,1,2017,,,,,,,54,0,45,,,19,,,,,,,,,263,13.842105263,54,2.842105263,,SY16-17,,,,,,,,,,,,19,263,0,98,1/1/2017
NV@SD365@GD403,SD365,GD403,NV,,Bridger Campus - Kinder - 5th,QUEST ACADEMY CHARTER SCHOOL,,,,,,,,,,,,,1,2017,,,,,,,260,88,36,,,19,,,,,,,,,1058,55.684210526,348,18.315789474,,SY16-17,,,,,,,,,,,,19,850,208,155,1/1/2017
NV@SD367@GD403,SD367,GD403,NV,,Torrey Pines Campus K-6,QUEST ACADEMY CHARTER SCHOOL,,,,,,,,,,,,,1,2017,,,,,,,573,32,100,,,19,,,,,,,,,2462,129.578947368,605,31.842105263,,SY16-17,,,,,,,,,,,,19,2190,272,1020,1/1/2017
NV@SD368@GD404,SD368,GD404,NV,,Renown Health Child Care,RENOWN REGIONAL MEDICAL CENTER/CHILD CARE,,,,,,,,,,,,,1,2017,,,,,,,0,0,0,,,0,,,,,,,,,0,,0,,,SY16-17,,,,,,,,,,,,0,0,0,0,1/1/2017
NV@SD369@GD405,SD369,GD405,NV,,Nevada Qualifying House School,RITE OF PASSAGE,,,,,,,,,,,,,1,2017,,,,,,,434,0,0,,,19,,,,,,,,,0,,434,22.842105263,,SY16-17,,,,,,,,,,,,0,0,0,0,1/1/2017
NV@SD370@GD405,SD370,GD405,NV,,Sierra Sage Academy,RITE OF PASSAGE,,,,,,,,,,,,,1,2017,,,,,,,1089,0,0,,,31,,,,,,,,,1034,33.354838710,1089,35.129032258,,SY16-17,,,,,,,,,,,,31,1034,0,0,1/1/2017
NV@SD372@GD407,SD372,GD407,NV,,DWTC-AAP,SO NEVADA CHILD & ADOLESCENT SVS - DIV CFS,,,,,,,,,,,,,1,2017,,,,,,,122,0,0,,,31,,,,,,,,,121,3.903225806,122,3.935483871,,SY16-17,,,,,,,,,,,,31,121,0,0,1/1/2017
NV@SD373@GD407,SD373,GD407,NV,,DWTC-CAP,SO NEVADA CHILD & ADOLESCENT SVS - DIV CFS,,,,,,,,,,,,,1,2017,,,,,,,0,0,0,,,0,,,,,,,,,0,,0,,,SY16-17,,,,,,,,,,,,0,0,0,0,1/1/2017
