Provision 2 (Y/N),Claim Date,ISP,School Level-Original,Enrollment-Total,Enrollment-Free and Reduced,Enrollment-Free,Enrollment-Reduced,School Year,Claim Year,Unique ID,School ID,District ID,State-Physical,Street Address-Line 1,Street Address-Line 2,School Type-Original,Provision 1 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Enrollment-Paid,Lunch Meals-Free and Reduced,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Breakfast Meals-Free and Reduced,Operating Days,Operating Days-Breakfast Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,NCES ID,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data,District Name,School Name,City,Zip Code,County,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,CEP (Y/N),Claim Month,Operating Days-Lunch Only
,7/1/2013,,,,,,,SY13-14,2013,NV@1541@1043,1541,1043,,,,,,,,,,2847,0,0,,,22,,,,,,,,,NV,9505,432.045454545,2847,129.409090909,,,,,,,,,,,,,CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,West Prep at West Hall,,,Clark,9505,0,0,N,7,22
,7/1/2013,,,,,,,SY13-14,2013,NV@19@1043,19,1043,,,,,,,,,,0,0,0,,,0,,,,,,,,,NV,0,,0,,,,,,,,,,,,,,CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,West Preparatory Elementary School,,,Clark,0,0,0,N,7,0
,7/1/2013,,,,,,,SY13-14,2013,NV@2352@1043,2352,1043,,,,,,,,,,199,109,366,,,21,,,,,,,,,NV,370,17.619047619,308,14.666666667,,,,,,,,,,,,,CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,Wolff Elementary School,,,Clark,226,144,422,N,7,21
,7/1/2013,,,,,,,SY13-14,2013,NV@3164@1043,3164,1043,,,,,,,,,,746,180,182,,,22,,,,,,,,,NV,4341,197.318181818,926,42.090909091,,,,,,,,,,,,,CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,"Wright, William Elementary School",,,Clark,3312,1029,3391,N,7,22
,7/1/2013,,,,,,,SY13-14,2013,NV@1240@1123,1240,1123,,,,,,,,,,0,0,0,,,0,,,,,,,,,NV,0,,0,,,,,,,,,,,,,,GRIFFITH UNITED METHODIST PRESCHOOL/DAYCARE,Griffith United Methodist Day School,,,Clark,0,0,0,N,7,0
,7/1/2013,,,,,,,SY13-14,2013,NV@2421@1107,2421,1107,,,,,,,,,,0,0,0,,,0,,,,,,,,,NV,0,,0,,,,,,,,,,,,,,HILL & DALE  CDC/COMMUNITY LUTHERAN CHURCH,Hill & Dale CDC,,,Clark,0,0,0,N,7,0
,7/1/2013,,,,,,,SY13-14,2013,NV@1732@1076,1732,1076,,,,,,,,,,1465,0,0,,,31,,,,,,,,,NV,1467,47.322580645,1465,47.258064516,,,,,,,,,,,,,NEVADA YOUTH TRAINING CENTER,Nevada Youth Training Center,,,Elko,1467,0,0,N,7,31
,7/1/2013,,,,,,,SY13-14,2013,NV@1733@1079,1733,1079,,,,,,,,,,235,0,0,,,31,,,,,,,,,NV,232,7.483870968,235,7.580645161,,,,,,,,,,,,,NORTHEASTERN NV JUVENILE DETENTION CENTER,Northeastern Nevada Juvenile Center,,,Elko,232,0,0,N,7,31
,7/1/2013,,,,,,,SY13-14,2013,NV@1832@1078,1832,1078,,,,,,,,,,389,0,0,,,31,,,,,,,,,NV,376,12.129032258,389,12.548387097,,,,,,,,,,,,,NORTHERN NV CHILD & ADOLESCENT SVCS,Adolescent Treatment Center,,,Washoe,376,0,0,N,7,31
,7/1/2013,,,,,,,SY13-14,2013,NV@1826@1078,1826,1078,,,,,,,,,,116,0,0,,,31,,,,,,,,,NV,106,3.419354839,116,3.741935484,,,,,,,,,,,,,NORTHERN NV CHILD & ADOLESCENT SVCS,Family Learning Home I,,,Washoe,106,0,0,N,7,31
,7/1/2013,,,,,,,SY13-14,2013,NV@1828@1078,1828,1078,,,,,,,,,,46,0,0,,,31,,,,,,,,,NV,40,1.290322581,46,1.483870968,,,,,,,,,,,,,NORTHERN NV CHILD & ADOLESCENT SVCS,Family Learning Home II,,,Washoe,40,0,0,N,7,31
